run_id	backbone	variant	tf_latft	train_cities	probe_acc	cka_off_diag	mmd_mean	rank_mean	rank_std	in_dist_pdms	ood_pdms	pdms_drop	total_pdms
A3-b	resnet34	supervised	TF	LV,B,P,S	0.9897360703812317	0.6974223315385365	0.10307925939559937	71.95089579634568	18.44630438019306	75.7	75.7	0.0	77.9
A6	ijepa	ViT-H/14 frozen	TF	LV,B,P,S	0.9369501466275659	0.6880327018977802	0.1626486380894979	36.60590677017817	7.198194481873218	75.175	75.175	0.0	76.9
A6-b	ijepa	ViT-H/14 trainable	TF	LV,B,P,S	0.3841642228739003	0.6951667617411341	0.0	2.874927723553151	0.967661079505759	74.77499999999999	74.77499999999999	0.0	77.0
A6-d	ijepa	ViT-S/14 rect frozen	TF	LV,B,P,S	0.7888563049853372	0.9079808040655658	0.07510737578074138	17.37360672924964	0.8188505238244497	76.95	76.95	0.0	78.7
A6-e	ijepa	ViT-S/14 rect trainable	TF	LV,B,P,S	0.7785923753665689	0.8968225471003488	0.07411436239878337	18.546399342273073	1.1016575405663716	76.525	76.525	0.0	78.6
A6-f	ijepa	ViT-S/14 sq frozen	TF	LV,B,P,S	0.9384164222873901	0.6654492767473128	0.09976089000701904	107.85573947641241	10.704074925734773	74.67499999999998	74.67499999999998	0.0	76.3
A6-g	ijepa	ViT-S/14 sq trainable	TF	LV,B,P,S	0.9545454545454546	0.5690711640674007	0.17190082867940268	90.70364612289072	15.55711454733394	74.925	74.925	0.0	76.9
A7	dinov2	ViT-S/14 frozen	TF	LV,B,P,S	0.658357771260997	0.9515268467662272	0.1266528864701589	4.068799808704408	0.4133213655040919	75.55	75.55	0.0	77.7
A7-b	dinov2	ViT-S/14 trainable	TF	LV,B,P,S	0.3914956011730205	0.9997359339239846	0.0016206105550130208	1.152129446318173	0.013767249141592223	73.85	73.85	0.0	75.6
A7-d	dinov2	ViT-S/14 rect frozen	TF	LV,B,P,S	0.8533724340175953	0.866475948331547	0.0817161997159322	27.3414704329086	2.189588328445737	77.075	77.075	0.0	78.7
A7-e	dinov2	ViT-S/14 rect trainable	TF	LV,B,P,S	0.8929618768328446	0.8767042940545476	0.07522453864415486	25.290241384083984	1.9834727451543388	77.625	77.625	0.0	79.6
A7-f	dinov2	ViT-S/14 sq frozen	TF	LV,B,P,S	0.8665689149560117	0.7311885248254942	0.05293134848276774	89.31294185343414	10.92834425273356	77.425	77.425	0.0	79.4
A7-g	dinov2	ViT-S/14 sq trainable	TF	LV,B,P,S	0.8812316715542522	0.7122420872459702	0.045720418294270836	95.48329527683349	6.7974388093907825	75.6	75.6	0.0	77.3
A8	mae	ViT-B/16 frozen	TF	LV,B,P,S	0.9589442815249267	0.7331817554981388	0.14441665013631186	45.47652560920707	6.52802510241468	78.4	78.4	0.0	80.7
A8-b	mae	ViT-B/16 trainable	TF	LV,B,P,S	0.8709677419354839	0.6988306826914689	0.15616599718729654	10.735968096662184	1.2302521920164864	76.17500000000001	76.17500000000001	0.0	78.0
A8-d	mae	ViT-S/14 rect frozen	TF	LV,B,P,S	0.9648093841642229	0.8161041952212112	0.2241754730542501	25.752125647828386	7.16980249298064	79.125	79.125	0.0	80.7
A8-e	mae	ViT-S/14 rect trainable	TF	LV,B,P,S	0.9648093841642229	0.5648330050345939	0.22425299882888794	21.63020479191119	3.2751365644227284	80.25	80.25	0.0	81.9
A8-f	mae	ViT-S/14 sq frozen	TF	LV,B,P,S	0.9252199413489736	0.6015945837951973	0.09911211331685384	106.77881101410352	15.450652303532525	77.0	77.0	0.0	78.9
A8-g	mae	ViT-S/14 sq trainable	TF	LV,B,P,S	0.9750733137829912	0.5609138005220354	0.18073378006617227	90.47828308638235	17.504050708445043	77.7	77.7	0.0	79.2
A9	resnet34	supervised	LatTF	LV,B,P,S	1.0	0.622134652832954	0.10602943102518718	69.53716120893975	10.255300583816345	79.575	79.575	0.0	81.7
A9-b	ijepa	ViT-H/14 frozen	LatTF	LV,B,P,S	0.9398826979472141	0.7168148285738498	0.16810744007428488	39.54155311764297	7.274053037310471	74.525	74.525	0.0	76.1
A9-c	ijepa	ViT-H/14 trainable	LatTF	LV,B,P,S	0.9164222873900293	0.7279515534706081	0.18430196245511374	26.668628579301764	3.33508094806505	77.05	77.05	0.0	79.1
A9-e	dinov2	ViT-S/14 frozen	LatTF	LV,B,P,S	0.8299120234604106	0.8880158211465216	0.05938243865966797	28.24266219898142	4.419179126786474	71.39999999999999	71.39999999999999	0.0	74.1
A9-f	dinov2	ViT-S/14 trainable	LatTF	LV,B,P,S	0.8343108504398827	0.7868456035155392	0.10671369234720866	16.362654942362784	1.0471305122115082	67.45	67.45	0.0	70.2
A9-h	mae	ViT-B/16 frozen	LatTF	LV,B,P,S	0.9604105571847508	0.7647021376812743	0.16036003828048706	41.276826680735844	7.806499724542959	71.275	71.275	0.0	72.7
A9-i	mae	ViT-B/16 trainable	LatTF	LV,B,P,S	0.9794721407624634	0.6726194684314472	0.2007299264272054	26.342109386474988	2.787828855671323	78.05000000000001	78.05000000000001	0.0	80.6
A9-j	ijepa	ViT-S/14 rect frozen	LatTF	LV,B,P,S	0.8269794721407625	0.8826541116837902	0.05239468812942505	30.015282795744906	2.0889048781247004	72.37499999999999	72.37499999999999	0.0	74.9
